Company Name,Website
lighthouse,http://www.lighthouseglobal.com/
"lingatech, inc.",-1
"liveramp, inc.",-1
livongo,-1
llamasoft,http://www.llamasoft.com/
lockheed martin,http://www.lockheedmartin.com/
logic soft,-1
logic20/20,http://www.logic2020.com/
logistic services international,http://www.lsijax.com/
long beach memorial medical center,http://www.memorialcare.org/
longleaf system & network specialists,-1
looker,http://www.looker.com/
loop integration,http://www.loopintegration.com/
lorven technologies inc,-1
lrs,-1
lube-tech,http://www.lubetech.com/
lucid motors,http://www.lucidmotors.com/
luminar technologies,http://www.luminartech.com/
lundbeck,http://www.lundbeck.com/
luxoft usa inc,http://www.luxoft.com/
luxoft usa inc,-1
"lyft, inc.",-1
lynq technologies,-1
"macconnell & associates, p.c.",http://www.christianacare.org/
machine zone,http://www.mz.com/
macy's,http://www.macysjobs.com/
mailchimp,http://www.mailchimp.com/
major league baseball mlb,-1
make corp.,http://www.makecor.com/
managed markets insight & technology,http://www.mmitnetwork.com/life-at-mmit
mantech,http://www.mantech.com/
mantech international corporation,http://www.mantech.com/
mapup inc,-1
mark43,http://www.mark43.com/
marklogic,http://www.marklogic.com/
mars,http://www.mars.com/
mars it corp,-1
martin's famous pastry shoppe,-1
"mary jane prigge consulting, llc",http://www.mjpcjobs.com
massmutual,http://www.massmutual.com/
mastech digital,-1
mathematica policy research,http://www.mathematica.org/
mathworks,http://www.mathworks.com/
matrix medical network,-1
matrix resources,http://www.matrixres.com/
maxar technologies,http://www.maxar.com/
mccarthy building co,http://www.mccarthy.com/
mcsg technologies,http://www.mcsgtech.com/
mctish kunkel and associates,-1
"mdc international, inc.",-1
medbill,http://www.medbill.net/
medical science,http://www.mscweb.com/
"medical science & computing, llc",-1
medidata,-1
medidata solutions,http://www.medidata.com/
"medl mobile, inc",http://www.medlmobile.com/
mellanox technologies,http://www.mellanox.com/
memsql,http://www.memsql.com/
mentor graphics,http://www.mentor.com/
merchant e-solutions,http://www.merchante-solutions.com/
mercurygate international,http://www.mercurygate.com/
"meridian technologies, inc",-1
metrolink,http://www.metrolinktrains.com/
metromile,http://www.metromile.com/
microdesk,http://www.microdesk.com/
micron,-1
microsoft corporation,http://www.microsoft.com
microtek digital llc,-1
midland credit management,http://www.joinmcm.com/
milroy construction inc.,-1
mind tech inc,-1
mindtree ltd,-1
miracle software systems,-1
mission essential,-1
mitre,http://www.mitre.org/
mitsubishi electric,http://www.meaa-mea.com/
mitsubishi electric automation,http://us.mitsubishielectric.com/fa/en
mitsubishi electric research labs,http://www.merl.com/
mks instruments,-1
mobilecomm professianal inc,http://www.mcpsinc.com
mobileiron,http://www.mobileiron.com/
mobilityware,http://www.mobilityware.com/
moderna therapeutics,http://www.modernatx.com/
modus technologies,http://www.modusclosing.com/
mojio,http://www.moj.io/
mongodb,http://www.mongodb.com/
montage health,http://www.montagehealth.org/
monument health,http://www.monument.health/
moog,http://www.moog.com/
morgan engineering,-1
moser consulting,http://www.moserit.com/
mri software,http://www.mrisoftware.com/
mro (pa),http://www.mrocorp.com/
msci,-1
msk engineering & design,http://www.esri.com/
mutesix,http://www.mutesix.com/
mvp health care,http://www.mvphealthcare.com/
my job tank,http://www.myjobtank.com/
n.f. smith & associates,http://www.smithweb.com/
nask,http://www.n-ask.com/
national association of insurance commissioners,http://www.naic.org/
national general insurance,http://www.nationalgeneral.com/
national interstate,http://www.natl.com/
national kidney foundation,http://www.kidney.org/
national security agency,http://www.intelligencecareers.gov/nsa
national security agency (nsa),https://www.intelligencecareers.gov/NSA/
naval nuclear laboratory,-1
navex global,http://www.navexglobal.com/
navy federal credit union,http://www.navyfederal.org/
neato robotics,http://www.neatorobotics.com/
nec display solutions of america,http://www.necdisplay.com/
neci,http://www.neci.com/
neenah,http://www.neenah.com/
nektar therapeutics,http://www.nektar.com/
nes financial,http://www.nesfinancial.com/
nestle,http://www.nestle.com/
net2source inc.,http://www.net2source.com/
netbrain technologies,http://www.netbraintech.com/
"neteffects, inc.",http://neteffects.com/
netmotion software,http://www.netmotionsoftware.com/
netskope,http://www.netskope.com/
neurocrine biosciences,http://www.neurocrine.com/
new england biolabs,http://www.neb.com/
newport group,http://www.newportgroup.com/
"next level business services, inc.",http://www.nlbservices.com/
nextgen federal systems,http://www.nextgenfed.com/
ngdata us inc,-1
"ninja analytics, inc.",-1
njf global holdings,http://www.njf.com/
noblis,http://www.noblis.org/
nolij consulting,http://www.nolijconsulting.com/
norgate technology inc,http://www.norgate.com/
north carolina state univ.,-1
northbound llc,-1
northpointe bank,http://www.northpointe.com/
northrop grumman,http://www.northropgrumman.com/
northwell health,http://jobs.northwell.edu/
northwestern mutual,http://www.northwesternmutual.com/
"norvax, llc d/b/a go health",-1
novartis,-1
novetta,http://www.novetta.com/
npaworldwide recruitment network,-1
ns8,http://www.ns8.com/
nt concepts,http://www.ntconcepts.com/
ntersol,-1
ntrepid,http://www.ntrepidcorp.com/
ntt data services,http://www.nttdata.com/americas
nu skin,http://www.nuskin.com/
nu skin,http://www.vocera.com/
nuwave solutions,http://www.nuwavesolutions.com/
nvidia,http://www.nvidia.com/
"nypit, inc.",-1
oakwood university,http://www.oakwood.edu/
object partners,http://www.objectpartners.com/
"object technology solutions, inc. (otsi)",-1
odyssey systems,http://www.odysseyconsult.com
offerup,http://www.offerup.com/
"offerup, inc",-1
omega solutions inc.,-1
onemagnify,http://www.onemagnify.com/
onethree biotech,-1
onezero financial systems,-1
opal business solutions,-1
open systems technologies,http://www.opensystemstech.com/
openlogix corporation,http://www.open-logix.com
opinion dynamics,http://www.opiniondynamics.com/
oportun,http://www.oportun.com/
oportun. inc,http://www.oportun.com/
optum,-1
orange coast memorial medical center,http://www.memorialcare.org/
oregon mutual insurance,http://www.ormutual.com/
orgspire,http://www.orgspire.com/
orion advisor technology,http://www.orion.com/
osi engineering,-1
osi engineering,http://www.OSIengineering.com
osi engineering,http://www.osiengineering.com/
otr capital,http://www.otrcapital.com/
oversight systems,http://www.oversightsystems.com/
ozmo,http://www.ozmoapp.com/
p. cornely llc,-1
p2 energy solutions,http://www.p2energysolutions.com/
pa consulting,http://www.paconsulting.com/
pacific biosciences,http://www.pacificbiosciences.com/
pacific northwest national laboratory,-1
pacific northwest national laboratory,http://www.plumvoice.com/
pactera,http://www.pactera.com/
pacteraedge,-1
pae,https://www.pae.com/
paige,http://www.paige.ai/
palermo's pizza,http://www.palermospizza.com/
pall,http://www.pall.com/
parkland center for clinical innovation,http://www.pccinnovation.org/
pathrise,-1
patientpoint,http://www.patientpoint.com/
patterson-kelley,http://www.rms.com/
payjunction,http://www.payjunction.com/
pci,http://www.gopci.com/
pearl insurance,http://www.pearlinsurance.com/
peloton interactive,http://www.onepeloton.com/
pennymac,http://www.pennymacusa.com/
"people ai, inc.",-1
people force consulting,-1
peoplesbank,http://www.bankatpeoples.com/
peraton,http://www.peraton.com/
peraton,-1
perfect world entertainment,http://www.perfectworld.com/
performance software,https://www.psware.com/
persistent systems inc.,-1
perspecta,-1
"pesystems, inc.",https://www.pesystems.com/
peterson technology partners,https://www.ptechpartners.com
peterson technology partners,http://www.ptechpartners.com/
phoenix operations group,http://www.phoenix-opsgroup.com/
piaggio fast forward,http://www.piaggiofastforward.com/
pike electric,http://www.pike.com/
pinnacle group,-1
"pioneer data systems, inc",http://pioneerdata.com/
pitney bowes,-1
pk,http://www.pkglobal.com/
pk global,https://pkglobal.com/
pls mechanical,http://www.plsmech.com/
plus3 it systems,http://www.plus3it.com/
plymouth rock assurance,http://www.plymouthrock.com/
pnnl,-1
point digital finance,http://www.point.com/
point72,http://www.point72.com/
point72 ventures,-1
power monitors,http://www.powermonitors.com/
"pragmatics, inc.",http://www.pragmatics.com/
precision resources,-1
precision system design,http://www.precisionsystems.com/
premera blue cross,http://www.premera.com/
presidio,https://www.presidio.com/
prestige staffing,-1
pri technology,-1
"primetime technologies, inc.",-1
principia biopharma,-1
"prismview, a samsung company",http://www.prismview.com/
productive edge,http://www.productiveedge.com/
profi vision,-1
progress residential,http://www.rentprogress.com/
project consulting group,-1
prolacta bioscience,http://www.prolacta.com/
prolim global,-1
proofpoint,http://www.proofpoint.com/us/careers/life-proofpoint
prospect infosys inc,-1
prudent technologies and consulting,http://www.prudentconsulting.com/
"ptc therapeutics, inc.",http://www.ptcbio.com/
publicis media,-1
pyramid consulting group,-1
"pyramid consulting, inc.",http://www.pyramidci.com/
q bio,http://www.q.bio/
q2 solutions,http://www.q2labsolutions.com/
qapital,http://www.qapital.com/
qcraft,-1
qomplx,http://www.qomplx.com/
quadrant inc,http://www.quadrantinc.com/
qualcomm,http://www.qualcomm.com/
"qualifacts systems, inc.",http://www.qualifacts.com/
qualys,http://www.qualys.com/
quantumblack,http://www.quantumblack.com/
quartet health,http://www.quartethealth.com/
queen consulting group,http://www.queencg.com/
quicken loans,http://www.quickenloans.com/
quicken loans inc.,https://www.quickenloans.com/
quotient technology inc.,http://www.quotient.com/
r1 rcm,http://www.r1rcm.com/
radio flyer inc.,http://www.radioflyer.com/
raisso inc.,-1
rally health,http://www.rallyhealth.com/
randstad,https://www.randstad.com/
rapidit,-1
"raycon, inc.",http://www.rayconglobal.com/
raytheon,http://www.rtx.com/
rba,http://www.rba.careers/
rcm solutions inc.,-1
re2 robotics,http://www.resquared.com/
reachmobi,http://www.reachmobi.com/
"real soft, inc./diversity direct",http://www.realsoftinc.com
recursion pharmaceuticals,http://www.recursionpharma.com/
redapt,http://www.redapt.com/
redjack,http://www.redjack.com/
reedgroup,http://www.gene.com/
reedgroup,http://www.reedgroup.com/
regeneron,http://www.regeneron.com/
relationship one,-1
relx group,http://www.relx.com/
remedi seniorcare,http://www.remedirx.com/
"remedy bpci partners, llc.",http://www.powerofremedy.com/
reonomy,http://www.reonomy.com/
reperio human capital,-1
reperio inc.,-1
responsive search,-1
resurgent capital services,http://www.resurgent.com/
"retailnext, inc.",-1
reuther+bowen,-1
revolutionary security,http://www.revsec.com/
reynolds american,http://www.reynoldsamerican.com/
ricoh,http://www.ricoh.com/
ring,http://www.ring.com/
risk management solutions (rms),http://www.rms.com/
riskiq,http://www.riskiq.com/
riverbed technologies,http://www.riverbed.com/
riverpoint inc,-1
riverside research institute,http://www.riversideresearch.org/
riverway business services,http://www.riverway.jobs/
rkf engineering solutions llc,-1
rm executive search firm,-1
rms computer corporation,http://www.rmscorp.com/
robert half,http://www.roberthalf.com/
rocket insights,http://www.rocketinsights.com/
rocket lawyer,http://www.rocketlawyer.com/
rockwell automation,http://www.rockwellautomation.com/
rockwell collins inc.,-1
"rodan and fields, llc",http://www.rodanandfields.com/
"roi data pro, llc",-1
rolfe carawan,-1
royce geospatial,http://www.roycegeo.com/
rubicon project,http://www.rubiconproject.com/
rubius therapeutics,http://www.rubiustx.com/
ruby receptionists,http://www.ruby.com/
rural sourcing,http://www.ruralsourcing.com/
"s&p global, inc.",-1
saab,http://www.saabgroup.com/
saama technologies inc,http://www.saama.com/
saavn,http://www.jiosaavn.com/
sacred heart hospital of pensacola,http://jobs.ascension.org/ourwork
safegraph,http://www.safegraph.com/
saic,-1
sailpoint technologies,http://www.sailpoint.com/
salient global technologies,-1
sallie mae,http://www.salliemae.com/
samba tv,http://www.samba.tv/
sammons financial,http://www.sammonsfinancial.com/
samsung research america,http://www.sra.samsung.com/
"samsung semiconductor, inc.",http://www.samsung.com/semiconductor
san manuel casino,http://www.sanmanuelcareers.com/
sandata technologies,http://www.sandata.com/
sandhills global,http://www.sandhills.com/
sandia national laboratories,http://www.sandia.gov/
sanofi,http://www.sanofi.com/
sansi north america,http://www.snadisplays.com/
sartorius,http://www.sartorius.com/career
scale ai,http://www.scale.com/
schoolsfirst fcu,http://www.schoolsfirstfcu.org/
scientific research corporation,http://www.scires.com
sciplay,http://www.sciplay.com/
scoop,http://www.takescoop.com/
scs engineers,http://www.scsengineers.com/
securetrust,http://www.securetrust.com/
security finance corporation of spartanburg,http://www.security-finance.com/
seen by indeed,-1
seescan,-1
"seguno software, inc.",-1
sei professional services,http://www.seisolarpros.com/
sentilink,http://www.q2labsolutions.com/
"servicelink management company, llc",-1
"sevee & maher engineers, inc.",-1
sevone,http://www.sevone.com/
sg gaming inc. f/k/a bally gaming inc.,-1
shared labs,-1
sheetz,http://www.sheetz.com/
shi international,http://www.shi.com/
shine systems,http://www.shinesystems.com/
shipt,http://www.shipt.com/
shorepoint,http://www.shorepointinc.com/
shutterfly,http://www.shutterflyinc.com/
sigma software,-1
sigmaways inc,-1
silicon valley bank,http://www.svb.com/
silman industries,http://www.silmanindustries.com/
"silverback therapeutics, inc.",-1
simulstat inc.,-1
sinclair community college,-1
sita,-1
"sixgen, inc.",-1
skilalogy,-1
skilled wound care,http://www.skilledwoundcare.com/
skoruz inc,-1
sky solutions llc,-1
skyrocket ventures,-1
sligo software solutions inc.,-1
slv moulya technologies inc,-1
smart synergies inc,-1
"smartnews, inc.",http://www.smartnews.com/
"smith johnson group, inc",http://www.smithjohnson.com
smule,http://www.smule.com/
snap finance llc,-1
snapsheet,-1
sni financial,-1
softthink solutions inc,-1
software engineering institute,http://www.sei.cmu.edu/
software engineering services corporation,http://www.sessolutions.com/
software technology inc,-1
"softworld, inc.",http://softworldinc.com
solaredge technologies inc.,http://www.solaredge.com/
solidus,-1
sound transit,-1
southwest research institute,http://www.swri.org/
spectra group inc.,-1
spectra tech inc.,https://www.spectratechinc.com/
spectrum,http://jobs.spectrum.com/
sphera solutions,http://www.sphera.com/
spino inc,-1
spok,http://www.spok.com/
"srg iii, llc dba spencer reed group",-1
staffing front inc,-1
staffing now,-1
stamps.com,-1
stara technologies,http://www.staratechnologies.com/
starbucks,http://www.starbucks.com/
state of wisconsin investment board,http://www.swib.state.wi.us/
stefanini,http://www.stefanini.com
stratacent,-1
stratagem group,http://www.stratagemgroup.com/
strategic employment partners,http://www.strategicemployment.com/
strategic financial solutions,http://www.stratfs.com/
strategic technology partners llc,http://www.stpfederal.com/
stratus technologies,http://www.stratus.com/
streetshares,http://www.streetshares.com/
stride consulting,http://www.stridenyc.com/
structured communications,http://www.structured.com/
sunovion,http://www.sunovion.com/
superior technical ceramics,-1
swiss re,http://www.swissre.com/
synapse product development inc.,http://www.synapse.com/
synechron,https://www.synechron.com/
synerfac technical staffing,http://www.synerfac.com/
synergisticit,-1
sysazzle,-1
sysmex america,http://www.sysmex.com/us
system automation,-1
system soft technologies,http://www.sstech.us/
system1,http://www.system1.com/
systems & technology research,http://www.stresearch.com/
systems evolution inc.,http://www.sei.com/
t and t consulting services inc,-1
t. rowe price,http://www.troweprice.com/
ta digital,http://www.techaspect.com/
ta instruments,http://www.tainstruments.com/
tachyon technologies,-1
takeda pharmaceuticals,http://www.takedajobs.com/
talent fusion us,-1
talent inc.,http://www.talentinc.com/
talentburst inc,http://www.talentburst.com/
tapjoy,http://www.tapjoy.com/
tatum,https://www.tatum-us.com/
"tcg, inc",https://www.tcg.com/
tcs,http://www.tcs.com
teachable,http://www.teachable.com/
teachers pay teachers,http://www.teacherspayteachers.com/
"teaching strategies, llc",http://www.teachingstrategies.com/
teamlogic it,http://www.teamlogicit.com/
teasdale latin foods,http://www.teasdalelatinfoods.com/
tech brains,-1
tech era inc.,-1
tech talent link,-1
technology hub,-1
technosoft,-1
techsmith corporation,http://www.techsmith.com/
tecolote research,http://www.tecolote.com/
tekniforce,-1
tekpartners,http://www.tekpartners.com/
"tekstream solutions, llc",http://www.tekstream.com/
telephonics,http://www.telephonics.com/
tempo automation,http://www.tempoautomation.com/
tempus labs,http://www.tempus.com/
tempus labs,http://www.sgainc.com/
tenable,http://www.tenable.com/
"terma north america, inc.",-1
testek solutions,http://www.testek.com/
the baer group,-1
the bergaila companies,http://www.bergaila.com/
the buffalo group,http://www.thebuffalogroup.com/
"the cei group, inc.",-1
the climate corporation,http://www.climate.com/
the david j. joseph company,http://www.djj.com/
the execusearch group,-1
the home depot,-1
the integer group,http://www.integer.com/
the judge group,https://www.judge.com
the jupiter group,-1
the knot worldwide,http://www.theknotww.com/
the l. s. starrett company,-1
the mil corporation (mil),-1
the mom project,http://www.themomproject.com/
the predictive index,http://www.predictiveindex.com/
the spaceship company,http://www.thespaceshipcompany.com/
the squires group,http://www.squiresgroup.com/
the syllogisteks company,http://www.syllogisteks.com/
the tech academy,-1
thedacare,-1
"threatmetrix, inc.",-1
thycotic,http://www.thycotic.com/
tibco software,http://www.tibco.com/
tiger analytics,-1
tigerconnect,http://www.tigerconnect.com/
timetrade systems,http://www.timetrade.com/
top prospect group,http://www.topprospectgroup.com/
torc robotics,http://www.torc.ai/
tory burch,http://www.toryburch.com/
touchsuite,http://www.touchsuite.com/
trace3,http://www.trace3.com/
translate bio,http://www.translate.bio/
translate bio,http://www.life360.com/
transunion,http://www.transunion.com/
tranzact,http://www.tranzact.net/
travelers,http://www.travelers.com/
tredence,http://www.tredence.com/
treehouse foods,http://www.treehousefoods.com/
"trellisware technologies, inc",http://www.trellisware.com/
trigyn technologies inc,-1
trihydro,http://www.trihydro.com/
trilogy ed,http://www.trilogyed.com/
trinity technology partners,-1
triplebyte,http://www.triplebyte.com/
tripwire interactive,http://www.tripwireinteractive.com/
triumph group,http://www.triumphgroup.com/
truist financial,http://www.thepremierfinancialinstitution.com/
tsm solutions,-1
tubi,-1
tufts health plan,http://www.tuftshealthplan.com/
turbine technology services,http://www.ttsenergyservices.com/
turn/river capital,http://www.turnriver.com/
"turnkey computer systems, llc",-1
ucb,-1
uis technology partners,http://www.uistechpartners.com/
uline,http://www.uline.com/
ungerboeck software international,http://www.ungerboeck.com/
univ. of redlands,-1
universal technologies (ny),http://www.univstech.com/
university of nebraska lincoln,-1
uplight,-1
upm pharmaceutical inc,-1
upmc-health system,-1
upstart,http://www.upstart.com/
us army ground vehicle systems center,-1
usdm life sciences,https://www.usdm.com/Home
"vaco, llc",http://www.vaco.com/
valkyrie trading,http://www.valkyrietrading.com/
vanda pharmaceuticals,http://www.vandapharma.com/
varo money,http://www.varomoney.com/
vegazva group,-1
vejars technologies,-1
venerable,http://www.venerableannuity.com/
veracyte,http://www.veracyte.com/
verisilicon,http://www.verisilicon.com/
verisilicon inc.,-1
vermont information processing,http://www.vtinfo.com/
verra mobility,http://www.verramobility.com/
versiti,http://www.versiti.org/
vertafore,http://www.vertafore.com/
vertex pharmaceuticals,http://www.vrtx.com/
vertex pharmaceuticals inc.,https://www.vrtx.com/
veterans united home loans,http://www.veteransunited.com/
vimo inc. dba getinsured,-1
vinaudit.com,-1
vir biotechnology,-1
virgin voyages,http://www.virginvoyages.com/
virtusa,http://www.virtusa.com/
visa inc.,http://www.visa.com/
vision metering,-1
visiting nurse service of new york,http://www.vnsny.org/
vitamin shoppe,http://www.vitaminshoppe.com/
"volume integration, llc",http://www.volumeintegration.com/
vsolvit llc,http://www.vsolvit.com/
"vst consulting, inc",http://www.vstconsulting.com/
vw automotive cloud,-1
w.l. gore,http://www.gore.com/
wal-mart,-1
walbec group,-1
walgreens,http://www.walgreens.com/
"walrath recruiting, inc.",http://walrathrecruiting.com/
walt disney company,https://jobs.disneycareers.com
washington health benefit exchange,http://www.wahbexchange.org/
webpt,http://www.webpt.com/
wells fargo,http://www.wellsfargojobs.com/
wescom central credit union,https://www.wescom.org/
wespath benefits and investments,http://www.wespath.org/
west bend mutual insurance co.,http://www.thesilverlining.com/
west pharmaceutical services,http://www.westpharma.com/
west yost associates,http://www.westyost.com/
westat,-1
western digital,http://jobs.wdc.com/
"whitney, bradley and brown",http://www.wbbinc.com/
wicresoft,https://us.wicresoft.com/
"wilco source, llc",-1
wings financial cu,http://www.wingsfinancial.com/
winsupply inc,-1
wirtz corporation,-1
wish,http://www.wish.com/
wk dickson,http://www.wkdickson.com/
wood,-1
woolpert,http://www.woolpert.com/
workstride,http://www.workstride.com/
world services llc,-1
wr systems,http://www.wrsystems.com/
wsecu,http://www.wsecu.org/
wuxi nextcode,http://www.wuxinextcode.com/
xavient digital- powered by telus international,-1
xignite,http://www.xignite.com/
xilinx,http://www.xilinx.com/
xor security,https://www.xorsecurity.com/
ygrene,http://www.ygrene.com/
zest ai,http://www.zest.ai/
zeta global,http://www.zetaglobal.com/
"zieman engineering, llc",http://www.cafemedia.com/
zonar systems,http://www.zonarsystems.com/
zoox inc.,-1
zt systems,http://www.ztsystems.com/
zurich na,-1
